"ticker","rsi","rs","price","price_change","price_change_ratio","price_change_ratio_1m","id","title","source","publish_date"
"A32","52.3","","37200","0","0","0.033","11285728","A32: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt","TCBS","2024-08-09 10:53:00"
"A32","71.9","","40300","0","0","0.116","11283688","A32: Thông báo ngày đăng ký cuối cùng thực hiện trả cổ tức còn lại năm 2023 bằng tiền","TCBS","2024-08-07 15:43:00"
"A32","71.9","","40300","0","0","0.116","11283689","A32: Nghị quyết Hội đồng quản trị","TCBS","2024-08-07 15:42:00"
"A32","71.9","","40300","0","0","0.116","11283266","A32: Nghị quyết Đại hội đồng cổ đông thường niên năm 2024","TCBS","2024-08-07 10:44:00"
"A32","71.9","","40300","0","0","0.116","11282461","A32: Điều lệ tổ chức và hoạt động sửa đổi lần thứ 6","TCBS","2024-08-06 14:49:00"
"A32","46.9","","35000","-100","-0.003","0","11273895","A32: Nghị quyết về việc thông qua thời gian tổ chức đại hội đồng cổ đông thường niên năm 2024","TCBS","2024-07-30 15:51:00"
"A32","46.9","","35100","0","0","0.003","11272131","A32: Nghị quyết về thời gian tổ chức đại hội đồng cổ đông thường niên năm 2024 và điều chỉnh phương án phân phối lợi nhuận, chia cổ tức năm 2023","TCBS","2024-07-29 15:53:00"
"A32","48.7","","35100","-300","-0.008","0.003","11269817","A32: Báo cáo quản trị công ty bán niên 2024","TCBS","2024-07-26 10:30:00"
"A32","46.6","","35700","700","0.02","-0.008","11256894","A32: Giải trình nguyên nhân và phương án khắc phục tình trạng cổ phiếu đưa vào diện cảnh báo.","TCBS","2024-07-16 09:46:00"
"A32","55","","36000","-100","-0.003","0","11250742","A32: Quyết định đưa vào diện cảnh báo và thông báo trạng thái chứng khoán","TCBS","2024-07-09 17:53:00"
"A32","39.6","","35000","0","0","-0.062","11226966","A32: Thông báo về việc tạm hoãn thời gian tổ chức Đại hội đồng cổ đông thường niên năm 2024","TCBS","2024-06-25 09:44:00"
"A32","52.7","","36000","0","0","0.115","11208607","A32: Tài liệu họp Đại hội đồng cổ đông","TCBS","2024-06-06 17:01:00"
"A32","55.7","","41000","0","0","0.049","11160845","A32: Nghị quyết gia hạn tổ chức đại hội đồng cổ đông thường niên năm 2024","TCBS","2024-04-22 10:51:00"
"A32","38.8","","39100","5100","0.15","-0.356","11117116","A32: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2024","TCBS","2024-03-14 15:05:00"
"A32","38.8","","34000","0","0","-0.44","11114291","A32: Báo cáo thường niên 2023","TCBS","2024-03-12 17:56:00"
"AAA","51","63","11700","0","0","0.045","11272336","AAA:  Giải trình chênh lệch lợi nhuận quý 2/2024 so với cùng kỳ năm trước","TCBS","2024-07-29 17:25:00"
"AAA","51","63","11700","0","0","0.045","11272289","AAA:  Báo cáo tình hình quản trị công ty 6 tháng đầu năm 2024","TCBS","2024-07-29 16:25:00"
"AAA","67.7","71","12200","-200","-0.016","0.104","11257728","AAA:  Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Trương Thị Kim Thư","TCBS","2024-07-16 17:11:00"
"AAA","56","50","11750","100","0.009","0.009","11249153","AAA: Vợ thành viên HĐQT đăng ký bán gần 182.300 cổ phiếu","TCBS","2024-07-08 16:42:00"
"AAA","49.4","34","11500","200","0.018","-0.034","11244492","Nhựa An Phát Xanh (AAA) tham gia vào thị trường sàn nhựa VLXD gần 37 tỷ USD","TCBS","2024-07-03 14:06:00"
"AAA","47.3","30","11300","100","0.009","-0.05","11243886","AAA:  Công bố đường dẫn Báo cáo thường niên 2023","TCBS","2024-07-02 13:57:00"
"AAA","53","56","11400","-100","-0.009","0.018","11229847","AAA:  Thông báo ký kết hợp đồng kiểm toán BCTC 2024","TCBS","2024-06-27 14:00:00"
"AAA","47.3","27","11500","250","0.022","0.031","11214957","AAA:  Giấy xác nhận thay đổi nội dung đăng ký doanh nghiệp","TCBS","2024-06-12 17:13:00"
"AAA","56.4","45","11650","450","0.04","0.153","11198642","AAA:  Công bố Điều lệ Công ty được sửa đổi bổ sung","TCBS","2024-05-28 16:49:00"
"AAA","56.4","45","11650","450","0.04","0.153","11198643","AAA:  CBTT Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2024","TCBS","2024-05-28 16:47:00"
"AAA","56.4","45","11650","450","0.04","0.153","11198602","AAA:  Thông báo thay đổi nhân sự","TCBS","2024-05-28 16:35:00"
"AAA","52.6","39","11200","200","0.018","0.109","11197376","ĐHĐCĐ thường niên 2024 Nhựa An Phát Xanh (AAA): Đặt mục tiêu lợi nhuận 377 tỷ đồng, tăng trưởng 22%","TCBS","2024-05-27 17:40:00"
"AAA","52.6","39","11200","200","0.018","0.109","11197388","AAA:  Báo cáo về ngày trở thành cổ đông lớn Pyn Elite Fund (Non-Ucits)","TCBS","2024-05-27 17:24:00"
"AAA","69.3","64","11450","-50","-0.004","0.185","11190013","AAA:  Báo cáo tình hình sử dụng vốn từ đợt chào bán chứng khoán ra công chúng","TCBS","2024-05-20 17:25:00"
"AAA","62.9","44","11500","400","0.036","0.162","11188273","AAA:  Nghị quyết HĐQT về việc điều chỉnh, bổ sung tài liệu họp ĐHĐCĐ thường niên 2024","TCBS","2024-05-17 16:21:00"
"AAM","28.8","","7450","10","0.001","-0.086","11283701","HOSE thêm cổ phiếu AAM vào danh sách chứng khoán không đủ điều kiện giao dịch ký quỹ","TCBS","2024-08-07 15:45:00"
"AAM","28.8","","7450","10","0.001","-0.086","11282898","HOSE: Thông báo danh sách bổ sung chứng khoán không đủ điều kiện giao dịch ký quỹ - AAM","TCBS","2024-08-07 08:40:00"
"AAM","34.5","","7520","-170","-0.022","-0.073","11281285","AAM:  Giải trình chênh lệch lợi nhuận sau thuế 6 tháng đầu năm 2024 so với 6 tháng đầu năm 2023","TCBS","2024-08-05 16:39:00"
"AAM","42.9","","8250","180","0.022","0.019","11266210","AAM:  Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Châu Thị Yến","TCBS","2024-07-23 17:20:00"
"AAM","43.7","","8070","-30","-0.004","-0.004","11263650","AAM:  Thông báo giao dịch cổ phiếu của người nội bộ Nguyễn Hoàng Anh","TCBS","2024-07-22 11:09:00"
"AAM","51.9","","8220","-150","-0.018","-0.023","11260983","AAM:  Báo cáo tình hình quản trị công ty 6 tháng đầu năm 2024","TCBS","2024-07-18 17:51:00"
"AAM","50.6","","8300","-80","-0.01","-0.044","11253408","AAM:  Thông báo giao dịch cổ phiếu của người có liên quan đến Người nội bộ Châu Thị Yến","TCBS","2024-07-11 16:44:00"
"AAM","50.6","","8300","-80","-0.01","-0.044","11253409","AAM:  Giải trình chênh lệch lợi nhuận quý 2/2024 so với cùng kỳ năm trước","TCBS","2024-07-11 16:43:00"
"AAM","36.8","","8250","100","0.012","-0.057","11231953","AAM:  Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Châu Thị Yến","TCBS","2024-06-28 18:26:00"
"AAM","35.2","","8290","-100","-0.012","-0.045","11225171","AAM:  Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Hoàng Anh","TCBS","2024-06-21 15:23:00"
"AAM","46.1","","8690","-10","-0.001","-0.024","11205422","AAM:  Thông báo giao dịch cổ phiếu của người có liên quan đến người nội bộ Châu Thị Yến","TCBS","2024-06-04 14:10:00"
"AAM","32.2","","8700","350","0.042","-0.022","11204169","AAM:  Thông báo giao dịch cổ phiếu của người có liên quan đến người nội bộ Châu Thị Yến","TCBS","2024-06-03 16:08:00"
"AAM","41.3","","8800","120","0.014","-0.006","11192808","AAM:  Thông báo ký kết hợp đồng kiểm toán BCTC 2024","TCBS","2024-05-22 16:13:00"
"AAM","48.1","","8820","-80","-0.009","-0.003","11190015","AAM:  Thông báo giao dịch cổ phiếu của người nội bộ Nguyễn Hoàng Anh","TCBS","2024-05-20 17:24:00"
"AAM","44.5","","8900","0","0","-0.033","11179536","AAM:  Thông báo thay đổi nhân sự công ty","TCBS","2024-05-09 17:49:00"
"AAS","30.3","30","7000","0","0","-0.136","11287483","AAS: Nghị quyết Hội đồng quản trị","TCBS","2024-08-12 14:18:00"
"AAS","25.6","13","7500","0","0","-0.063","11275832","AAS: Báo cáo quản trị công ty bán niên 2024","TCBS","2024-07-31 14:32:00"
"AAS","26.6","23","7600","-100","-0.013","-0.084","11267259","AAS: Báo cáo tài chính quý 2/2024","TCBS","2024-07-24 11:12:00"
"AAS","39.4","16","8200","100","0.012","-0.024","11257305","AAS: Nghị quyết Hội đồng quản trị","TCBS","2024-07-16 13:56:00"
